period_days,duration_hrs,depth_ppm,radius_rearth,impact,teff,logg,st_rad,mission,label
16.08518937,3.984,1442.4,3.68,0.867,5239.0,4.523,0.826,KEPLER,CONFIRMED
235.9986399,8.2284,20715.0,10.59,0.778,4245.0,4.627,0.657,KEPLER,CANDIDATE
7.49018305,2.7297,1123.6,2.56,0.02,5103.0,4.562,0.787,KEPLER,CONFIRMED
36.2761238,4.7865,1572.6,3.03,0.035,5103.0,4.562,0.787,KEPLER,CONFIRMED
17.46087931,2.2641,812.4,2.32,0.594,5103.0,4.562,0.787,KEPLER,CONFIRMED
56.0560754,4.685,1626.0,1.94,0.018,3593.0,4.757,0.491,KEPLER,CONFIRMED
41.408316686,5.0264,22839.0,11.38,0.377,5522.0,4.586,0.747,KEPLER,CONFIRMED
39.74893077,7.3051,15179.0,14.21,0.881,6122.0,4.487,0.964,KEPLER,CANDIDATE
5.715425977,2.5242,908.1,2.47,0.348,5237.0,4.572,0.826,KEPLER,CONFIRMED
49.18394185,11.3364,1646.2,8.2,0.035,5626.0,3.907,2.057,KEPLER,CONFIRMED
20.0261412,1.611,421.2,2.28,0.957,5237.0,4.572,0.826,KEPLER,CONFIRMED
13.61014819,2.594,5732.9,19.02,1.081,5697.0,4.46,0.903,KEPLER,CANDIDATE
10.44331991,2.743,1159.8,2.66,0.23,4947.0,4.516,0.802,KEPLER,FALSE POSITIVE
2.237489571,1.8119,315.8,1.41,0.128,5265.0,4.58,0.81,KEPLER,CONFIRMED
5.851520671,3.11058,33004.0,14.62,0.211,5532.0,4.53,0.806,KEPLER,FALSE POSITIVE
3.167893418,2.1814,781.2,2.62,0.026,5895.0,4.503,0.94,KEPLER,CONFIRMED
4.311780262,2.7251,1154.0,3.11,0.196,5527.0,4.484,0.927,KEPLER,CONFIRMED
20.0504494,4.556,840.9,2.69,0.383,5527.0,4.484,0.927,KEPLER,CONFIRMED
9.76734503,1.6585,569.1,2.67,0.9,5527.0,4.484,0.927,KEPLER,CONFIRMED
119.0207044,8.1405,7430.5,8.98,0.076,5453.0,4.342,1.062,KEPLER,CANDIDATE
190.3200468,15.284,1141.7,7.78,0.812,5626.0,3.907,2.057,KEPLER,CONFIRMED
2.861159894,1.8832,1014.3,4.37,0.965,6126.0,4.458,1.021,KEPLER,FALSE POSITIVE
26.44439337,3.9783,1843.5,3.91,0.03,5427.0,4.463,0.929,KEPLER,CONFIRMED
51.53997972,6.3994,3644.3,5.51,0.183,5427.0,4.463,0.929,KEPLER,CONFIRMED
5.902245782,2.9003,702.3,2.43,0.209,5427.0,4.463,0.929,KEPLER,CONFIRMED
2.382951591,1.8876,391.6,1.86,0.479,5427.0,4.463,0.929,KEPLER,CONFIRMED
21.02250608,4.1072,1772.5,3.07,0.036,5067.0,4.585,0.75,KEPLER,CONFIRMED
3.219814777,2.0642,488.2,1.69,0.06,5103.0,4.562,0.787,KEPLER,CONFIRMED
5.912273234,2.3254,961.4,1.73,0.17,4072.0,4.696,0.57,KEPLER,CONFIRMED
8.98581901,2.8606,881.3,1.65,0.008,4072.0,4.696,0.57,KEPLER,CONFIRMED
12.940668656,2.4845,42450.0,22.94,0.897,5875.0,4.572,0.809,KEPLER,CANDIDATE
20.5452375,2.517,218.5,2.41,0.95,5670.0,4.206,1.264,KEPLER,FALSE POSITIVE
33.60123371,4.4056,7425.9,8.46,0.67,5149.0,4.447,0.93,KEPLER,CONFIRMED
6.76652928,2.9004,450.7,1.97,0.429,5149.0,4.447,0.93,KEPLER,CONFIRMED
4.347288783,2.1024,451.6,2.36,0.025,5754.0,4.345,1.122,KEPLER,CONFIRMED
4.601811819,2.2607,755.9,2.35,0.567,4986.0,4.496,0.833,KEPLER,CONFIRMED
11.18719905,3.252,353.6,1.55,0.387,4986.0,4.496,0.833,KEPLER,CONFIRMED
4.220965778,3.0854,2260.0,2.62,0.705,3837.0,4.747,0.517,KEPLER,CONFIRMED
6.998099523,2.0488,20285.0,588.66,7.361,5612.0,4.566,0.829,KEPLER,FALSE POSITIVE
5.95489993,2.3892,1410.7,2.33,0.327,4261.0,4.641,0.633,KEPLER,CONFIRMED
12.03987488,2.7363,1250.6,2.18,0.286,4261.0,4.641,0.633,KEPLER,CONFIRMED
20.83762895,2.3734,439.0,1.42,0.706,4261.0,4.641,0.633,KEPLER,CONFIRMED
8.8111022,5.0683,401.1,63.66,1.223,6200.0,3.8,2.404,KEPLER,FALSE POSITIVE
23.58917143,5.073,1200.7,3.16,0.926,4919.0,4.566,0.721,KEPLER,CONFIRMED
6.481633073,3.784,298.5,2.54,0.833,5945.0,4.213,1.302,KEPLER,CONFIRMED
10.37168928,3.035,1254.9,3.2,0.537,5121.0,4.457,0.888,KEPLER,CONFIRMED
3.96996298,1.1757,299.2,1.78,0.836,5121.0,4.457,0.888,KEPLER,CONFIRMED
4.40841331,5.012,549.4,2.66,0.899,6007.0,4.457,0.961,KEPLER,CONFIRMED
7.9426176,6.703,1590.7,4.68,0.942,5811.0,4.521,0.926,KEPLER,FALSE POSITIVE
226.8904775,7.558,3136.4,4.53,0.731,5067.0,4.585,0.75,KEPLER,CONFIRMED
1.956811408,2.1958,24905.0,21.58,1.091,5209.0,4.657,0.603,KEPLER,FALSE POSITIVE
2.688899233,2.11275,37492.0,12.04,0.001,4820.0,4.667,0.639,KEPLER,CANDIDATE
9.439459486,2.8979,3036.1,4.16,0.049,5097.0,4.597,0.779,KEPLER,CONFIRMED
11.523067458,3.8757,507.3,3.13,0.0,5644.0,4.162,1.411,KEPLER,CONFIRMED
20.47748843,2.8364,1382.4,2.92,0.497,5097.0,4.597,0.779,KEPLER,CONFIRMED
3.336123113,1.9616,516.3,1.74,0.252,5097.0,4.597,0.779,KEPLER,CONFIRMED
